run_id,scale_factor,bucket,final_bad_debt,peak_liquidatable_pct,total_liquidations,max_liquidations_per_step,final_median_hf
0,2.169,1.6–2.2× (Moderate),28699291.975834876,26.156255758245806,88018,327,
1,1.029,1.0–1.5× (Mild),0.00046931986842203247,10.189791781831582,30750,441,
2,4.208,4.1–5.0× (Tail/Capped),0.0005181702161892461,65.07278422701307,176959,472,
3,4.393,4.1–5.0× (Tail/Capped),0.0004976288786208774,65.90197162336466,184680,467,
4,1.106,1.0–1.5× (Mild),0.0004006905370486283,10.991339598304773,33191,447,
5,1.433,1.0–1.5× (Mild),0.0004487694452556918,15.671641791044777,43009,454,
6,1.967,1.6–2.2× (Moderate),0.0005003754276102642,24.074074074074073,57887,472,
7,4.898,4.1–5.0× (Tail/Capped),0.0006139168034185767,73.41993735028561,202633,434,
8,1.354,1.0–1.5× (Mild),0.0005871471517833943,13.460475400773909,40058,465,
9,3.736,3.1–4.0× (Extreme),0.0007079703963510509,57.407407407407405,158113,460,
10,2.518,2.3–3.0× (Severe),0.0007765214935164879,31.58282660770223,103506,414,
11,1.684,1.6–2.2× (Moderate),0.0007686715536108119,16.850930532522572,49871,467,
12,4.525,4.1–5.0× (Tail/Capped),0.0009307837980393802,68.9423254099871,189914,479,
13,2.429,2.3–3.0× (Severe),0.0010046435466038103,29.436152570480928,100001,447,
14,3.227,3.1–4.0× (Extreme),0.0011309186830600563,47.798046803021926,136126,477,
15,1.864,1.6–2.2× (Moderate),0.0011839608277788316,22.01031877648793,55525,470,
16,1.262,1.0–1.5× (Mild),0.0012795241068584932,14.096185737976782,37643,453,
17,1.092,1.0–1.5× (Mild),0.001414633532145184,10.843928505620049,33321,454,
18,4.157,4.1–5.0× (Tail/Capped),0.0016845094676152623,64.89773355444997,175444,421,
19,1.874,1.6–2.2× (Moderate),0.0017672811444470423,21.2916896996499,55449,474,
20,2.179,1.6–2.2× (Moderate),0.002018077953755705,26.25760088446656,88771,334,
21,1.146,1.0–1.5× (Mild),0.002104750487108397,11.691542288557214,34021,460,
22,1.078,1.0–1.5× (Mild),0.0023370099947799686,9.747558503777409,31731,443,
23,3.822,3.1–4.0× (Extreme),0.002741298074238268,58.457711442786064,161922,440,
24,1.659,1.6–2.2× (Moderate),0.0029319508537510677,16.473189607517966,48709,462,
25,4.661,4.1–5.0× (Tail/Capped),0.0033905921523265147,70.09397457158651,194032,434,
26,2.719,2.3–3.0× (Severe),0.0037168218349206148,36.051225354707945,112574,356,
27,1.01,1.0–1.5× (Mild),0.0037731682791148184,8.430071862907685,30110,440,
28,1.965,1.6–2.2× (Moderate),0.004434346536230978,20.886309194766906,57671,475,
29,4.57,4.1–5.0× (Tail/Capped),0.005035836776950217,68.77648793071678,191466,406,
30,2.437,2.3–3.0× (Severe),0.005555896642702645,30.97475585037774,99805,421,
31,3.423,3.1–4.0× (Extreme),0.00605023706732895,51.20692832135618,144905,399,
32,4.197,4.1–5.0× (Tail/Capped),0.0067419322786272376,63.36834346784595,176723,416,
33,2.071,1.6–2.2× (Moderate),0.007480723161457102,24.691358024691358,82745,383,
34,4.742,4.1–5.0× (Tail/Capped),0.00822506486553934,71.41146121245625,197344,498,
35,1.216,1.0–1.5× (Mild),0.008572799374239527,12.345679012345679,36111,453,
36,3.279,3.1–4.0× (Extreme),0.010105520624348496,47.13469688594067,138446,406,
37,3.421,3.1–4.0× (Extreme),0.011519612806913646,50.10134512622075,144573,376,
38,2.945,2.3–3.0× (Severe),0.013728716185099687,40.26165468951539,122578,443,
39,2.764,2.3–3.0× (Severe),35122.209556732414,36.88041275105952,115087,444,
40,4.794,4.1–5.0× (Tail/Capped),217040.17792485916,71.83526810392482,198960,500,
41,3.794,3.1–4.0× (Extreme),437572.691613679,57.333701861065045,160410,476,
42,3.45,3.1–4.0× (Extreme),740772.9195067144,52.423069836005155,146492,482,
43,2.664,2.3–3.0× (Severe),1092297.6357839897,34.31914501566243,110209,372,
44,1.152,1.0–1.5× (Mild),1599523.4422364119,11.295374976967016,34983,450,
45,3.353,3.1–4.0× (Extreme),2153185.9764436395,48.49824949327437,141345,412,
46,3.167,3.1–4.0× (Extreme),2741593.085394084,45.59609360604385,133252,494,
47,1.475,1.0–1.5× (Mild),3472217.8555397172,14.547632209323751,42855,467,
48,2.011,1.6–2.2× (Moderate),4193290.88177402,23.760825502119033,80774,404,
49,1.485,1.0–1.5× (Mild),4956668.722984599,14.906946747742767,43732,462,
50,2.958,2.3–3.0× (Severe),5843496.06890304,42.767643265155705,123889,446,
51,2.683,2.3–3.0× (Severe),6769791.680120453,33.784779804680305,110863,369,
52,4.485,4.1–5.0× (Tail/Capped),7749685.423941265,68.70278238437443,187740,488,
53,2.385,2.3–3.0× (Severe),9078169.228140306,29.70333517597199,97849,376,
54,2.528,2.3–3.0× (Severe),10509830.930193126,32.68840980283766,103945,420,
55,3.204,3.1–4.0× (Extreme),11686213.871977344,47.41109268472453,134918,430,
56,4.674,4.1–5.0× (Tail/Capped),12894012.652680418,70.88630919476691,194717,497,
57,2.926,2.3–3.0× (Severe),14222117.195213646,40.21558872305141,122747,368,
58,4.785,4.1–5.0× (Tail/Capped),15914268.912641583,72.6460291136908,198730,476,
59,1.82,1.6–2.2× (Moderate),17959868.547942143,19.421411461212458,53980,473,
60,3.756,3.1–4.0× (Extreme),19735018.29408119,59.75677169707021,159153,395,
61,4.398,4.1–5.0× (Tail/Capped),21687709.61191829,66.66666666666666,185037,480,
62,2.979,2.3–3.0× (Severe),23998658.298596263,40.4274921687857,124190,412,
63,1.639,1.6–2.2× (Moderate),26328914.73353372,17.40372213009029,48634,470,
64,1.783,1.6–2.2× (Moderate),28524464.599920817,20.932375161230883,52849,473,
65,3.988,3.1–4.0× (Extreme),31046087.4994953,61.90344573429151,168588,469,
66,1.301,1.0–1.5× (Mild),33736537.34016475,14.989865487377926,38630,460,
67,4.757,4.1–5.0× (Tail/Capped),36143613.52500758,70.67440574903262,197732,452,
68,1.366,1.0–1.5× (Mild),39088593.87161773,14.639764142251705,39884,465,
69,3.105,3.1–4.0× (Extreme),41614582.299766585,43.7534549474848,129832,403,
70,1.72,1.6–2.2× (Moderate),44746196.08608089,18.43559977888336,51065,468,
71,1.187,1.0–1.5× (Mild),46504724.408872336,13.395983047724341,34668,469,
72,3.834,3.1–4.0× (Extreme),50334794.32470245,57.79436152570481,162108,439,
73,4.877,4.1–5.0× (Tail/Capped),53200481.38302719,73.77925188870462,202122,455,
74,1.628,1.6–2.2× (Moderate),56795668.81101893,18.021006080707576,48510,468,
75,2.937,2.3–3.0× (Severe),60192963.732037984,41.61599410355629,122723,425,
76,3.167,3.1–4.0× (Extreme),63834085.3897862,44.803758982863464,132572,376,
77,4.38,4.1–5.0× (Tail/Capped),67803853.10415083,65.78220011055832,183665,471,
78,1.078,1.0–1.5× (Mild),63601655.21157755,11.194029850746269,32568,445,
79,2.362,2.3–3.0× (Severe),76718141.77390935,29.952091394877467,96780,316,
80,3.344,3.1–4.0× (Extreme),81435168.15042523,48.88520361157177,141209,445,
81,2.481,2.3–3.0× (Severe),86040637.28029054,31.978993919292424,102227,361,
82,2.647,2.3–3.0× (Severe),89921737.49019475,34.47576930163995,109782,345,
83,3.588,3.1–4.0× (Extreme),94549229.40486571,56.154413119587254,152478,385,
84,1.909,1.6–2.2× (Moderate),98498047.19793554,19.76229961304588,56749,475,
85,2.332,2.3–3.0× (Severe),104249912.60042487,31.40777593513912,95257,368,
86,3.795,3.1–4.0× (Extreme),109537243.56182335,57.12179841533075,161088,435,
87,1.702,1.6–2.2× (Moderate),108590791.87851666,19.04367053620785,49947,473,
88,1.416,1.0–1.5× (Mild),106161112.8239283,14.971439100792336,42474,464,
89,2.085,1.6–2.2× (Moderate),124611390.7727022,23.77003869541183,84208,392,
90,1.955,1.6–2.2× (Moderate),125894441.45752992,24.543946932006634,57822,474,
91,2.324,2.3–3.0× (Severe),135889147.44862387,30.00737055463424,95579,422,
92,1.091,1.0–1.5× (Mild),107516974.85526098,11.802100608070758,32349,450,
93,1.775,1.6–2.2× (Moderate),134708351.64420813,21.632577851483322,52650,478,
94,4.605,4.1–5.0× (Tail/Capped),152174952.6372405,70.07554818500093,192575,500,
95,1.299,1.0–1.5× (Mild),122841255.65087278,12.944536576377372,37511,461,
96,4.123,4.1–5.0× (Tail/Capped),164728506.1969869,65.24783489957619,174105,410,
97,2.843,2.3–3.0× (Severe),170697998.69831505,36.95411829740188,118207,394,
98,4.544,4.1–5.0× (Tail/Capped),177320941.69260973,69.39377188133406,190120,452,
99,3.846,3.1–4.0× (Extreme),182988177.2720557,58.83545236779067,162620,404,
